"progressive.vote","girls","child","republican","age","casename","name","area","circuit","year"
1,2,3,1,44,"Dunaway v. Int'l Bhd. of Teamsters","Sentelle, David B.","employment","DC",2002
1,3,3,1,40,"Peyton v. DiMario","Ginsburg, Douglas, H.","employment","DC",2002
1,3,3,1,40,"Stella v. Mineta","Ginsburg, Douglas, H.","employment","DC",2002
1,3,3,1,40,"Makins v. District of Columbia","Ginsburg, Douglas, H.","employment","DC",2002
1,3,3,1,40,"Stewart v. Evans","Ginsburg, Douglas, H.","employment","DC",2002
1,2,3,1,44,"Thomas v. NFL Players Ass'n","Sentelle, David B.","employment","DC",2001
0,2,5,1,50,"LaPrade v. Kidder, Peabody & Co.","Williams, Stephen F.","employment","DC",2001
1,2,3,1,50,"Jones v. Washington Metro. Area Transit Auth.","Silberman, Laurence H.","employment","DC",2000
0,1,2,0,40,"Borgo v. Goldin","Edwards, Harry T.","employment","DC",2000
0,2,5,1,50,"Gleklen v. Democratic Congressional Campaign Comm., Inc.","Williams, Stephen F.","pregnancy","DC",2000
NA,NA,NA,NA,NA,"Brown v. Brody",NA,"employment","DC",1999
0,3,3,1,40,"Holbrook v. Reno","Ginsburg, Douglas, H.","employment","DC",1999
1,2,3,1,50,"EEOC v. Lutheran Social Servs.","Silberman, Laurence H.","employment","DC",1999
0,2,5,1,50,"Martini v. Fannie Mae","Williams, Stephen F.","employment","DC",1999
0,1,2,0,40,"Carpenter v. Fannie Mae","Edwards, Harry T.","employment","DC",1999
0,2,5,1,50,"Carpenter v. Fannie Mae","Williams, Stephen F.","employment","DC",1999
1,3,5,0,51,"Butler v. West","Wald, Patricia M.","employment","DC",1999
0,3,5,0,51,"Smith-Haynie v. District of Columbia","Wald, Patricia M.","employment","DC",1998
1,3,3,1,40,"Griffin v. Washington Convention Ctr.","Ginsburg, Douglas, H.","employment","DC",1998
0,1,2,0,40,"Thomas v. NFL Players Ass'n","Edwards, Harry T.","employment","DC",1997
1,3,5,0,51,"Kolstad v. ADA","Wald, Patricia M.","employment","DC",1997
1,1,2,0,40,"East v. Graphic Arts Indus. Joint Pension Trust","Edwards, Harry T.","pregnancy","DC",1997
1,2,3,1,50,"Hartman v. Duffey","Silberman, Laurence H.","employment","DC",1996
1,2,5,1,50,"Terry v. Reno","Williams, Stephen F.","abortion","DC",1996
1,3,3,1,40,"AT&T v. EEOC","Ginsburg, Douglas, H.","pregnancy","DC",2001
0,2,2,1,52,"Foley v. Commonwealth Elec. Co.","Selya, Bruce M.","employment","1",2002
0,1,3,1,53,"Rosado v. Radio Shack, Inc.","Boudin, Michael","employment","1",2002
0,NA,4,1,51,"Gu v. Boston Police Dep't","Torruella del Valle, Juan R.","employment","1",2002
1,2,3,1,54,"Crowley v. L.L. Bean, Inc.","Greenberg, Morton I.","employment","1",2002
1,1,3,1,53,"Marrero v. Goya of P.R., Inc.","Boudin, Michael","employment","1",2002
1,NA,4,1,51,"Gorski v. N.H. Dep't of Corr.","Torruella del Valle, Juan R.","employment","1",2002
0,1,3,1,53,"Gray v. Genlyte Group, Inc.","Boudin, Michael","employment","1",2002
0,NA,4,1,51,"Conto v. Concord Hosp., Inc.","Torruella del Valle, Juan R.","employment","1",2001
